COD,intercept,slope,mk_p_value,Trend_Class
489_FS,0.732375078878112,-6.641464216974122e-5,1.8325233092108503e-5,3
48_SC,0.7199549157030165,-2.6625494114037646e-5,0.03442381432538878,1
490_FS,0.7175041812962331,-4.291812373686755e-5,0.007874639047666712,2
491_FS,0.7067544366644423,-5.507817792165995e-5,0.005677232138159304,2
493_FS,0.6238817374676111,-5.6378778978911196e-5,0.005677232138159304,2
494_FS,0.6646849972377816,-5.438037506997431e-5,0.026179598354081148,1
496_FS,0.6166150936209439,-2.5225421278677555e-5,0.3028130413278165,0
497_FS,0.610568228042661,-1.4942182779426262e-5,0.9567498363337371,0
499_FS,0.633526161183054,-2.9420037301567982e-5,0.11577768575893195,0
49_SC,0.7156167248330918,-1.1041230934835379e-5,0.8707563451116445,0
